option,url,,doc
RANDOMIZE_BASE,https://cateee.net/lkddb/web-lkddb/RANDOMIZE_BASE.html,,"In support of Kernel Address Space Layout Randomization (KASLR), this randomizes the physical address at which the kernel image is decompressed and the virtual address where the kernel image is mapped, as a security feature that deters exploit attempts relying on knowledge of the location of kernel code internals.  On 64-bit, the kernel physical and virtual addresses are randomized separately. The physical address will be anywhere between 16MB and the top of physical memory (up to 64TB). The virtual address will be randomized from 16MB up to 1GB (9 bits of entropy). Note that this also reduces the memory space available to kernel modules from 1.5GB to 1GB.  On 32-bit, the kernel physical and virtual addresses are randomized together. They will be randomized from 16MB up to 512MB (8 bits of entropy).  Entropy is generated using the RDRAND instruction if it is supported. If RDTSC is supported, its value is mixed into the entropy pool as well. If neither RDRAND nor RDTSC are supported, then entropy is read from the i8254 timer. The usable entropy is limited by the kernel being built using 2GB addressing, and that PHYSICAL_ALIGN must be at a minimum of 2MB. As a result, only 10 bits of entropy are theoretically possible, but the implementations are further limited due to memory layouts.  If unsure, say Y."
KASAN,https://cateee.net/lkddb/web-lkddb/KASAN.html,,"Enables kernel address sanitizer - runtime memory debugger, designed to find out-of-bounds accesses and use-after-free bugs. This is strictly a debugging feature and it requires a gcc version of 4.9.2 or later. Detection of out of bounds accesses to stack or global variables requires gcc 5.0 or later. This feature consumes about 1/8 of available memory and brings about ~x3 performance slowdown. For better error detection enable CONFIG_STACKTRACE. Currently CONFIG_KASAN doesn't work with CONFIG_DEBUG_SLAB (the resulting kernel does not boot)."
UBSAN_ALIGNMENT,https://cateee.net/lkddb/web-lkddb/UBSAN_ALIGNMENT.html,,"This option enables detection of unaligned memory accesses. Enabling this option on architectures that support unaligned accesses may produce a lot of false positives."
DRM_NOUVEAU,https://cateee.net/lkddb/web-lkddb/DRM_NOUVEAU.html,,"Choose this option for open-source NVIDIA support."
XFS_FS,https://cateee.net/lkddb/web-lkddb/XFS_FS.html,,"XFS is a high performance journaling filesystem which originated on the SGI IRIX platform.  It is completely multi-threaded, can support large files and large filesystems, extended attributes, variable block sizes, is extent based, and makes extensive use of Btrees (directories, extents, free space) to aid both performance and scalability.  Refer to the documentation at <http://oss.sgi.com/projects/xfs/> for complete details.  This implementation is on-disk compatible with the IRIX version of XFS.  To compile this file system support as a module, choose M here: the module will be called xfs.  Be aware, however, that if the file system of your root partition is compiled as a module, you'll need to use an initial ramdisk (initrd) to boot."
KCOV_INSTRUMENT_ALL,https://cateee.net/lkddb/web-lkddb/KCOV_INSTRUMENT_ALL.html,,"If you are doing generic system call fuzzing (like e.g. syzkaller), then you will want to instrument the whole kernel and you should say y here. If you are doing more targeted fuzzing (like e.g. filesystem fuzzing with AFL) then you will want to enable coverage for more specific subsets of files, and should say n here."
DRM_RADEON,https://cateee.net/lkddb/web-lkddb/DRM_RADEON.html,,"Choose this option if you have an ATI Radeon graphics card.  There are both PCI and AGP versions.  You don't need to choose this to run the Radeon in plain VGA mode.  If M is selected, the module will be called radeon."
UBSAN_NULL,https://cateee.net/lkddb/web-lkddb/UBSAN_NULL.html,,"This option enables detection of memory accesses via a null pointer."
MAXSMP,https://cateee.net/lkddb/web-lkddb/MAXSMP.html,,"Enable maximum number of CPUS and NUMA Nodes for this architecture. If unsure, say N."
DRM_AMDGPU,https://cateee.net/lkddb/web-lkddb/DRM_AMDGPU.html,,"Choose this option if you have a recent AMD Radeon graphics card.  If M is selected, the module will be called amdgpu."
SCSI_ISCSI_ATTRS,https://cateee.net/lkddb/web-lkddb/SCSI_ISCSI_ATTRS.html,,"If you wish to export transport-specific information about each attached iSCSI device to sysfs, say Y. Otherwise, say N."
X86_VSMP,https://cateee.net/lkddb/web-lkddb/X86_VSMP.html,,"Support for ScaleMP vSMP systems.  Say 'Y' here if this kernel is supposed to run on these EM64T-based machines.  Only choose this option if you have one of these machines."
DRM_GMA500,https://cateee.net/lkddb/web-lkddb/DRM_GMA500.html,,"Say yes for an experimental 2D KMS framebuffer driver for the Intel GMA500 ('Poulsbo') and other Intel IMG based graphics devices."
BLK_DEV_BSGLIB,https://cateee.net/lkddb/web-lkddb/BLK_DEV_BSGLIB.html,,"Subsystems will normally enable this if needed. Users will not normally need to manually enable this.  If unsure, say N."
DRM_I915,https://cateee.net/lkddb/web-lkddb/DRM_I915.html,,"Choose this option if you have a system that has Intel Graphics Media Accelerator or HD Graphics integrated graphics, including 830M, 845G, 852GM, 855GM, 865G, 915G, 945G, 965G, G35, G41, G43, G45 chipsets and Celeron, Pentium, Core i3, Core i5, Core i7 as well as Atom CPUs with integrated graphics.  This driver is used by the Intel driver in X.org 6.8 and XFree86 4.4 and above. It replaces the older i830 module that supported a subset of the hardware in older X.org releases.  Note that the older i810/i815 chipsets require the use of the i810 driver instead, and the Atom z5xx series has an entirely different implementation.  If M is selected, the module will be called i915."
FDDI,https://cateee.net/lkddb/web-lkddb/FDDI.html,,"Fiber Distributed Data Interface is a high speed local area network design. essentially a replacement for high speed Ethernet. FDDI can run over copper or fiber. If you are connected to such a network and want a driver for the FDDI card in your computer, say Y here (and then also Y to the driver for your FDDI card, below). Most people will say N."
DRM_QXL,https://cateee.net/lkddb/web-lkddb/DRM_QXL.html,,"QXL virtual GPU for Spice virtualization desktop integration. Do not enable this driver unless your distro ships a corresponding X.org QXL driver that can handle kernel modesetting."
FB_IMSTT,https://cateee.net/lkddb/web-lkddb/FB_IMSTT.html,,"The IMS Twin Turbo is a PCI-based frame buffer card bundled with many Macintosh and compatible computers."
DRM_AST,https://cateee.net/lkddb/web-lkddb/DRM_AST.html,,"Say yes for experimental AST GPU driver. Do not enable this driver without having a working -modesetting, and a version of AST that knows to fail if KMS is bound to the driver. These GPUs are commonly found in server chipsets."
DRM_VMWGFX,https://cateee.net/lkddb/web-lkddb/DRM_VMWGFX.html,,"Choose this option if you would like to run 3D acceleration in a VMware virtual machine. This is a KMS enabled DRM driver for the VMware SVGA2 virtual hardware. The compiled module will be called vmwgfx.ko."
DELL_WMI,https://cateee.net/lkddb/web-lkddb/DELL_WMI.html,,"Say Y here if you want to support WMI-based hotkeys on Dell laptops.  To compile this driver as a module, choose M here: the module will be called dell-wmi."
MLX4_EN,https://cateee.net/lkddb/web-lkddb/MLX4_EN.html,,"This driver supports Mellanox Technologies ConnectX Ethernet devices."
NET_VENDOR_MARVELL,https://cateee.net/lkddb/web-lkddb/NET_VENDOR_MARVELL.html,,"If you have a network (Ethernet) card belonging to this class, say Y.  Note that the answer to this question doesn't directly affect the kernel: saying N will just cause the configurator to skip all the questions about Marvell devices. If you say Y, you will be asked for your specific card in the following questions."
NET_VENDOR_MELLANOX,https://cateee.net/lkddb/web-lkddb/NET_VENDOR_MELLANOX.html,,"If you have a network (Ethernet) card belonging to this class, say Y.  Note that the answer to this question doesn't directly affect the kernel: saying N will just cause the configurator to skip all the questions about Mellanox cards. If you say Y, you will be asked for your specific card in the following questions."
DRM_HISI_HIBMC,https://cateee.net/lkddb/web-lkddb/DRM_HISI_HIBMC.html,,"Choose this option if you have a Hisilicon Hibmc soc chipset. If M is selected the module will be called hibmc-drm."
